time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446750000	18.1602	6.31397	4.83422	0.915453	0.388444	radar	0.882717	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2805	6.56134	4.88912	0.960134	0.417324	lidar	0.939556	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4148	6.7697	4.87962	0.985542	0.423944	radar	0.276372	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5593	6.90656	4.78655	0.981329	0.394898	lidar	1.39775	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7102	7.11449	4.87815	0.99282	0.380628	radar	0.797333	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9049	7.25728	4.83589	0.972826	0.336577	lidar	3.66976	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9968	7.44662	4.68433	1.0061	0.362415	radar	3.62588	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0858	7.72294	4.77907	1.05847	0.401362	lidar	1.788	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2087	7.92709	4.79852	1.07258	0.392608	radar	0.26696	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2866	8.14834	4.78709	1.1061	0.407949	lidar	1.30654	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3867	8.35808	4.81716	1.12273	0.399208	radar	2.16498	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4807	8.5021	4.68495	1.125	0.378765	lidar	3.16483	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5748	8.70385	4.63849	1.14491	0.382258	radar	0.442068	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7335	8.88414	4.62702	1.13336	0.348478	lidar	4.02585	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8111	9.09754	4.56731	1.16254	0.366738	radar	0.926109	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9377	9.33581	4.64053	1.17462	0.360554	lidar	3.35125	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9889	9.54468	4.51934	1.21238	0.391724	radar	2.36821	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0721	9.79643	4.59359	1.23929	0.400421	lidar	1.10511	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1339	10.0485	4.68713	1.2675	0.405396	radar	7.40164	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1795	10.3346	4.78967	1.30985	0.430307	lidar	1.18974	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1986	10.5634	4.69711	1.3541	0.464943	radar	2.93743	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2539	10.8486	4.80474	1.38584	0.474882	lidar	2.22089	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2816	11.1099	4.86345	1.41742	0.481185	radar	4.90088	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3159	11.3497	4.8622	1.44122	0.480905	lidar	0.00015092	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
